iter	RMSE
349	1443.210476
350	1436.399199
351	1435.171183
352	1426.637069
353	1419.577265
354	1411.504465
355	1404.742642
356	1401.126629
357	1397.800884
358	1396.510022
359	1387.519755
360	1386.215848
361	1377.434875
362	1376.19489
363	1375.118964
364	1368.79738
365	1360.856511
366	1353.531561
367	1352.057749
368	1346.074188
369	1340.861614
370	1339.650464
371	1338.676048
372	1337.40378
373	1329.514228
374	1328.316068
375	1326.178347
376	1321.087246
377	1319.681181
378	1316.084518
379	1311.250279
380	1303.487694
381	1299.556225
382	1298.274148
383	1288.308115
384	1286.464164
385	1281.439055
386	1272.75037
387	1266.488757
388	1257.796893
389	1254.731849
390	1250.337176
391	1246.382071
392	1237.404557
393	1236.128712
394	1235.299813
395	1227.689404
396	1225.167683
397	1219.782769
398	1218.950139
399	1218.123177
400	1211.415761
401	1207.381676
402	1206.592811
403	1205.81711
404	1204.259536
405	1203.354678
406	1202.335206
407	1198.028359
408	1192.250179
409	1191.168791
410	1184.860378
411	1180.203476
412	1173.062898
413	1171.946678
414	1168.864332
415	1159.697393
416	1154.759673
417	1151.809358
418	1145.748347
419	1141.61736
420	1139.697091
421	1132.237
422	1129.468541
423	1126.034355
424	1125.329719
425	1124.173573
426	1122.249267
427	1113.848625
428	1106.223996
429	1100.100786
430	1094.754807
431	1089.28973
432	1082.47868
433	1081.26808
434	1079.14405
435	1074.79585
436	1070.954064
437	1064.190325
438	1058.132391
439	1054.347521
440	1052.996345
441	1047.548762
442	1046.687214
443	1042.675041
444	1042.193643
445	1035.205448
446	1028.509275
447	1024.460352
448	1021.604389
449	1016.336211
450	1008.746706
451	1004.448775
452	998.029416
453	991.6297832
454	984.6526017
455	977.6288129
456	976.4796823
457	974.9505794
458	973.8819625
459	968.7303863
460	967.201829
461	966.5171848
