iter	Logloss
0	0.6894197684
1	0.6878798746
2	0.6844717774
3	0.6822204287
4	0.6784451051
5	0.6754951249
6	0.6712475889
7	0.6683677187
8	0.6664506547
9	0.6643240498
10	0.6612443651
11	0.6590158925
12	0.6566323335
13	0.6543349201
14	0.652282664
15	0.6501244939
16	0.6474385353
17	0.6456141844
18	0.6438187113
19	0.6399574349
20	0.6382664762
21	0.6355988309
22	0.6314234329
23	0.6297378178
24	0.6268302652
25	0.624675058
26	0.6208672957
27	0.6179274919
28	0.6151762364
29	0.6132443931
30	0.6115010824
31	0.6087391993
32	0.6067912035
33	0.6042326131
34	0.6016960425
35	0.5993649223
36	0.5978188999
37	0.5962866439
38	0.5933756169
39	0.5916140914
40	0.5896655359
41	0.5880516178
42	0.5861980729
43	0.584236873
44	0.5828233379
45	0.5807124731
46	0.5788586689
47	0.5769408576
48	0.5748929519
49	0.5736740308
50	0.571456001
51	0.5701868439
52	0.5681000447
53	0.5658139314
54	0.5640088477
55	0.561825881
56	0.5601155802
57	0.5588485635
58	0.5573258972
59	0.5554371958
60	0.55354257
61	0.551099862
62	0.5494942095
63	0.5476336301
64	0.5454385468
65	0.5431941956
66	0.5418782638
67	0.5392928071
68	0.5379090199
69	0.5366306229
70	0.5342416377
71	0.5322538535
72	0.5310694898
73	0.5300511247
74	0.52872799
75	0.5260813829
76	0.5250795038
77	0.5224876381
78	0.5208116777
79	0.5190932774
80	0.5172596283
81	0.5140329176
82	0.5127912532
83	0.5115519141
84	0.5103308469
85	0.5089837298
86	0.5075909181
87	0.5045307752
88	0.5027503202
89	0.5008030636
90	0.4999135139
91	0.4987367076
92	0.4976771665
93	0.4956565221
94	0.4943526678
95	0.4920028404
96	0.4898954984
97	0.4882003641
98	0.4866399799
99	0.4857085187
100	0.4834177902
101	0.4817222102
102	0.4801207415
103	0.4787098769
104	0.4771876915
105	0.4758154256
106	0.4740565531
107	0.4731956073
108	0.471660406
109	0.4708945579
110	0.4700636033
111	0.4681884178
112	0.4668677955
113	0.465915844
114	0.4648326627
115	0.4637098893
116	0.4625861837
117	0.4607629539
118	0.459868164
119	0.4589055842
120	0.4580271792
121	0.4568194756
122	0.4556923391
123	0.4546115433
124	0.4532519419
125	0.4520558651
126	0.4503568879
127	0.4491696689
128	0.4480872155
129	0.4469175301
130	0.4461150062
131	0.4452492097
132	0.4443272025
133	0.4434016196
134	0.4416772517
135	0.4405078325
136	0.4392517275
137	0.4385893889
138	0.4373956206
139	0.4365315096
140	0.4356310494
141	0.4348540778
142	0.4339261307
143	0.4329490368
144	0.4318783627
145	0.4307870855
146	0.4293804973
147	0.4284724716
148	0.4276757661
149	0.4268788396
150	0.4254105034
151	0.4248038175
152	0.4239150787
153	0.423312666
154	0.422557641
155	0.4218627452
156	0.4202522488
157	0.4191996759
158	0.4179985086
159	0.4171606523
160	0.4160302966
161	0.4152872504
162	0.4143355452
163	0.4132239838
164	0.412160154
165	0.4105675848
166	0.4097217958
167	0.4089087485
168	0.4081786279
169	0.407653557
170	0.4071934828
171	0.4064734524
172	0.4055281082
173	0.404610997
174	0.4039174795
175	0.4030642792
176	0.4021203769
177	0.4017046352
178	0.4007229903
179	0.4000278991
180	0.39942967
181	0.3982105145
182	0.3972498055
183	0.3961732353
184	0.3955234064
185	0.3946119369
186	0.3941301309
187	0.3933410347
188	0.3917868986
189	0.39082254
190	0.3901696115
191	0.3892392866
192	0.3885957997
193	0.3879409645
194	0.3871614798
195	0.3862817264
196	0.3853746711
197	0.3839971395
198	0.383510054
199	0.3827149739
200	0.3818313461
201	0.3804640193
202	0.379717771
203	0.3786864811
204	0.378123564
205	0.3771111986
206	0.376651393
207	0.3756280201
208	0.3749476548
209	0.3742498118
210	0.3733270647
211	0.3720517862
212	0.3714141797
213	0.3709210096
214	0.369827253
215	0.3687953249
216	0.3681509567
217	0.3675282261
218	0.3669904618
219	0.3663963702
220	0.3655841323
221	0.3650912317
222	0.3636033747
223	0.3629397213
224	0.3623591196
225	0.3617780443
226	0.3611042224
227	0.3601958244
228	0.3597925563
229	0.3588457177
230	0.3581992901
231	0.3575556985
232	0.3569982197
233	0.3565296165
234	0.3562009429
235	0.3559332811
236	0.354810804
237	0.3542792637
238	0.3537557959
239	0.3532282313
240	0.3528711339
241	0.352146811
242	0.3513539941
243	0.3508030354
244	0.3502756542
245	0.3496593542
246	0.3490129452
247	0.3486234538
248	0.3480004728
249	0.3473911935
250	0.346726975
251	0.3462722104
252	0.3459603772
253	0.345526539
254	0.3444056464
255	0.3439448091
256	0.3431920754
257	0.3424529165
258	0.3416530841
259	0.3407357638
260	0.339599364
261	0.3391273565
262	0.3387203244
263	0.3382986975
264	0.3377840052
265	0.3372859393
266	0.3369088654
267	0.3363927865
268	0.3362004429
269	0.3356893609
270	0.3351163125
271	0.3346564094
272	0.334176134
273	0.333687273
274	0.3333553933
275	0.3330272085
276	0.33248988
277	0.3319039079
278	0.3313305622
279	0.3310545043
280	0.3301507032
281	0.3296793342
282	0.3293379945
283	0.3289766134
284	0.3284493544
285	0.3280617462
286	0.3274349892
287	0.3269172012
288	0.3262607757
289	0.3258109435
290	0.3253836323
291	0.3249559342
292	0.3246848541
293	0.3238999316
294	0.3231952852
295	0.3228607036
296	0.3224399735
297	0.3219575215
298	0.3214273069
299	0.3207625828
300	0.3202794455
301	0.3199301986
302	0.3193660322
303	0.319035475
304	0.3183210441
305	0.3178193377
306	0.3174517531
307	0.3168256219
308	0.316114432
309	0.315275326
310	0.3146563424
311	0.3143252364
312	0.3137100681
313	0.3133648145
314	0.3129375815
315	0.3125709193
316	0.3118090542
317	0.3110707696
318	0.3106452174
319	0.3102436526
320	0.3097398079
321	0.3093814452
322	0.3089713669
323	0.3085324056
324	0.3081024674
325	0.3076210449
326	0.3072645246
327	0.3065444873
328	0.3061041238
329	0.3055779561
330	0.3051022088
331	0.3047427144
332	0.3039984106
333	0.303616994
334	0.3032164998
335	0.3028921017
336	0.3026720135
337	0.3023048748
338	0.3018618628
339	0.3015547839
340	0.3008648586
341	0.3003240075
342	0.2997768329
343	0.299386063
344	0.2990356995
345	0.2988615512
346	0.2984926648
347	0.2977894923
348	0.29751693
349	0.2968090446
350	0.2965055585
351	0.2959141603
352	0.2956180092
353	0.2952064562
354	0.2946933724
355	0.2941665053
356	0.2938438495
357	0.2935943692
358	0.2931530269
359	0.2927184953
360	0.2920886413
361	0.2917524241
362	0.2913170346
363	0.290770765
364	0.2903524734
365	0.2896651031
366	0.2888797975
367	0.2885402702
368	0.2879350003
369	0.2876568322
370	0.2874423108
371	0.2870647398
372	0.2864053368
373	0.2860699444
374	0.2856549249
375	0.2851450945
376	0.2845200489
377	0.2841594969
378	0.2835903941
379	0.2832773445
380	0.2827684908
381	0.2823532213
382	0.2818944618
383	0.2816734307
384	0.2812299224
385	0.2807800777
386	0.2804997696
387	0.2801814531
388	0.2796097473
389	0.2793222461
390	0.2789805644
391	0.2783092599
392	0.2778675802
393	0.277508746
394	0.277232001
395	0.2769566882
396	0.2761999663
397	0.2758500081
398	0.2756085126
399	0.2752925603
400	0.2749544802
401	0.2745036318
402	0.2742894878
403	0.2740463707
404	0.273738963
405	0.2735237485
406	0.2731232579
407	0.2729142423
408	0.2719856475
409	0.2716157099
410	0.2712637768
411	0.2707572167
412	0.270266975
413	0.2699295846
414	0.2696514472
415	0.2693615847
416	0.2691320394
417	0.268843861
418	0.2686555461
419	0.268449349
420	0.2679341537
421	0.2675639648
422	0.2673410344
423	0.2667179345
424	0.2664510228
425	0.2661171528
426	0.2656540727
427	0.2654177667
428	0.2648264953
429	0.264541374
430	0.2641423433
431	0.2638635096
432	0.2636495562
433	0.2632759178
434	0.2629918027
435	0.2627460755
436	0.2623829695
437	0.2621080543
438	0.2618713633
439	0.261508516
440	0.2610888299
441	0.2607692187
442	0.2602627052
443	0.2598942063
444	0.2597139018
445	0.259411832
446	0.2591861595
447	0.2588941877
448	0.2586227641
449	0.2583887285
450	0.2581628145
451	0.2576613089
452	0.257335226
453	0.2569414633
454	0.2564988147
455	0.2560854556
456	0.2557649097
457	0.2553913134
